SI16_21G	SI16_23G	SI18_30G	SI18_48G	SI18_52G	SI16_22G	SI18_15G	SI18_16G	SI18_18G	SI18_22G	SI16_1G	SI16_2G	SI16_3G	SI18_47G	SI18_49G
LOC117804604	0	0	0	0	0	0	0	0	1	0	2	2	7	34	11
LOC117804772	30	60	0	2	3	22	7	6	14	4	36	59	84	125	71
frs3	3	16	8	4	3	6	1	1	0	4	41	108	84	32	7
tspo	69	121	22	17	21	208	38	39	59	21	300	330	454	329	301
LOC117810477	618	1504	797	841	1010	1680	1062	1150	805	950	171	209	147	280	239
c1h1orf74	1579	2611	1002	1179	1203	2020	834	567	478	830	358	343	492	501	361
sirt4	99	75	49	81	69	105	23	14	19	30	125	110	105	185	106
zgc:172271	12	12	5	4	0	25	7	3	4	3	77	69	68	47	50
sfi1	103	72	49	46	72	93	14	4	11	15	506	336	286	307	98
eif4enif1	3927	2601	3824	5473	4784	2247	1504	543	829	1915	2234	1727	1761	1243	547
patz1	86	80	36	47	47	88	13	7	28	16	205	129	206	499	223
LOC117816071	0	0	0	0	0	1	0	0	0	0	0	1	2	7	2
LOC117816063	2	6	0	1	0	6	1	0	1	1	15	7	27	57	18
tgfa	78	100	2	6	3	46	3	2	5	2	1	7	11	54	30
hdhd3	212	220	261	250	185	210	345	421	347	323	43	78	75	172	78
LOC117821198	0	0	0	0	1	2	0	0	0	0	20	47	9	1	3
trub2	215	328	175	149	138	199	92	54	47	88	275	199	278	375	182
rab44	1	8	7	27	5	90	43	136	92	35	60	109	226	152	124
srsf3a	1851	3358	1781	2120	2440	3238	897	654	616	1238	2163	2181	1978	2092	1725
fkbp5	19	33	19	8	32	111	102	177	349	69	44	84	269	316	127
LOC117811470	124	263	36	25	33	151	14	14	18	12	39	77	260	158	65
LOC117815553	1	1	1	1	0	3	1	0	1	0	0	2	2	7	7
LOC117812353	1	2	0	0	1	2	0	0	1	1	0	0	0	15	5
LOC117810422	0	0	0	0	0	0	0	0	0	0	1	21	0	10	3
LOC117810401	0	0	0	1	0	2	0	0	0	0	0	0	1	3	2
LOC117810411	0	0	1	1	2	1	1	0	0	1	3	1	4	33	7
LOC117812364	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1
LOC117815558	0	0	0	0	0	1	1	0	0	0	2	1	1	7	3
cadpsb	0	1	1	1	0	8	12	1	8	4	16	25	33	146	24
ca16b	329	265	185	129	294	323	148	73	77	103	526	413	514	559	320
cfap20dc	2	2	2	5	1	60	0	2	8	0	1018	967	606	189	103
si:dkeyp-67f1.2	0	0	0	0	1	0	0	0	0	0	0	1	1	7	1
LOC117820831	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3
camk1a	1	1	0	1	0	6	0	1	0	0	15	9	19	26	5
pbrm1l	1561	1093	1304	1050	1545	616	720	297	286	852	677	544	479	410	221
stau1	821	451	1089	921	1054	489	762	376	411	819	1911	1880	1981	1256	611
LOC117811536	0	1	0	0	0	0	0	0	0	0	1	1	4	14	6
si:dkey-7k24.5	1	1	1	3	0	7	2	0	1	3	22	24	50	64	31
kcnb1	0	0	0	0	0	6	2	0	0	0	13	8	17	36	10
ptgis	1	1	3	5	1	18	2	3	0	3	22	24	31	29	48
LOC117811556	65	50	17	45	40	70	11	4	11	14	142	104	325	331	151
oxtrl	0	0	0	0	0	1	0	0	0	0	0	0	2	5	1
zgc:172270	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
si:ch211-213o11.11	0	5	0	0	0	2	0	0	0	0	0	2	0	1	1
LOC117812335	162	244	174	220	167	193	138	64	75	166	67	58	109	245	106
rrp9	2990	3366	2291	2558	2715	2361	1292	713	642	1351	349	398	658	682	388
grm2b	0	0	0	1	1	2	0	1	2	0	5	6	9	42	4
LOC117814137	12	23	3	4	5	76	2	9	7	1	236	212	261	206	128
LOC117814143	70	194	182	104	139	482	250	396	239	231	144	873	390	673	463
brk1	355	772	493	466	425	807	510	575	451	373	567	575	629	760	607
LOC117810871	342	388	493	370	478	467	312	220	236	379	511	614	848	962	556
slc38a3b	3	1	0	1	1	4	1	0	0	0	9	5	9	15	13
LOC117820730	2	11	2	10	4	34	25	21	9	2	54	51	125	505	193
inka1b	2	18	2	1	0	24	3	1	4	1	23	65	39	87	31
uba7	419	219	374	545	608	387	418	161	236	475	46	84	168	445	211
LOC117822844	13	19	1	3	6	146	14	10	17	9	58	78	211	264	148
LOC117815635	7	7	5	4	3	14	3	2	8	3	24	21	51	154	66
LOC117810744	506	374	561	411	643	477	337	100	145	327	961	817	1221	1127	520
sema3fa	53	56	12	12	3	92	5	3	3	1	95	120	427	383	224
gnat1	0	0	0	0	0	0	0	0	0	0	2	2	0	4	0
edem1	287	390	118	120	152	245	65	24	21	59	253	454	550	319	132
arl8ba	86	180	114	63	85	286	103	105	97	96	259	312	333	279	208
tnfrsf18	3	18	24	14	22	32	32	32	19	29	2	9	11	29	13
si:ch73-361p23.3	0	1	0	1	0	5	4	4	6	0	7	9	23	14	15
LOC117821062	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
ddi2	921	580	755	768	957	288	482	229	239	539	344	281	455	344	248
si:ch73-15b2.5	3213	6084	5074	6122	6264	3215	4044	3065	1863	4101	71	126	147	20	12
cplane2	11	15	17	11	13	145	6	11	9	10	1398	1293	453	140	164
LOC117820419	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0
epha2a	559	460	281	423	629	257	205	52	96	276	18	26	121	202	127
h6pd	125	212	59	50	59	69	18	12	15	13	119	96	174	174	95
LOC117815646	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
rbp7b	4	3	6	2	0	19	22	72	19	9	7	8	14	84	104
cenps	398	803	422	412	469	768	504	551	370	335	102	467	555	421	346
tardbp	765	1202	365	362	357	1148	89	44	125	95	733	808	1279	1187	777
gnb1b	1402	2175	986	1018	965	1747	723	458	464	734	1362	1216	1599	1390	1087
si:ch211-161c3.5	8	9	5	23	8	66	6	7	18	2	38	42	109	223	130
si:ch211-161c3.6	4	3	8	9	6	4	1	1	1	2	9	10	21	30	10
mst1	28	27	12	27	26	14	27	6	16	68	45	46	131	273	83
abhd14b	836	873	747	784	887	724	605	468	511	612	48	96	300	346	204
cacna2d2a	3	3	1	2	3	23	6	1	0	2	53	34	58	121	55
hyal1	120	107	147	156	150	90	92	74	62	122	16	41	93	135	71
hyal2a	295	330	148	151	241	211	62	44	61	104	268	175	319	259	170
tusc2a	266	588	243	192	233	589	128	75	52	109	853	1096	723	658	377
LOC117809096	303	521	174	172	190	410	83	59	51	72	230	311	512	586	368
zmynd10	0	90	0	2	0	283	4	2	4	1	2958	2111	1360	562	403
nprl2	178	313	223	151	125	223	158	106	82	149	219	169	225	254	133
hemk1	207	231	159	169	154	156	171	163	126	180	137	79	282	217	142
cish	13	39	0	4	0	49	50	54	31	27	12	26	53	41	44
LOC117817444	2	1	1	2	0	3	0	1	1	0	8	13	9	15	12
wdr82	1602	2678	1779	1634	1853	2180	1742	1564	1168	1816	570	577	640	611	462
glyctk	12	9	16	10	11	68	12	3	15	2	377	282	254	183	123
tcta	99	257	152	136	143	334	119	134	95	103	447	448	392	519	386
mon1bb	635	491	463	315	463	323	173	58	48	185	209	142	151	176	92
brpf3a	131	122	111	129	125	154	30	20	23	49	930	609	438	322	164
si:dkey-183j2.10	0	0	0	0	0	3	1	0	0	0	8	5	9	21	7
plch2b	2	0	0	0	0	1	0	0	0	0	3	3	2	28	13
skib	15	31	4	5	5	36	3	3	5	3	13	15	57	123	60
tmem51b	185	228	129	133	165	92	69	33	47	70	16	20	38	83	43
LOC117820873	0	0	0	1	2	2	1	1	2	1	5	11	16	78	22
kaznb	26	29	23	31	23	32	14	4	19	17	26	18	88	140	56
LOC117820885	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0
prdm2b	190	177	102	110	103	139	43	25	47	49	359	245	491	492	261
LOC117815722	0	0	0	0	0	4	1	0	0	0	19	18	7	21	3
foxj3	82	87	32	40	44	80	18	7	16	15	1557	748	302	314	122
LOC117810632	6	29	2	3	1	43	8	18	25	9	6	44	77	61	65
ppcs	571	817	632	459	799	616	340	307	165	362	674	646	460	485	276
utp3	2211	1905	1684	2313	1603	1462	1054	530	456	895	364	328	739	713	447
LOC117818852	0	0	0	0	0	1	1	0	0	0	15	14	10	23	8
fam83e	0	1	0	0	1	0	0	0	1	0	0	0	0	6	1
LOC117819412	16	62	13	22	7	92	38	67	33	22	10	22	64	87	63
si:dkey-264d12.5	20	12	22	47	75	75	69	21	13	28	158	344	285	286	137
LOC117814427	16	58	56	51	31	26	10	13	15	27	14	18	26	135	49
znf362a	35	15	40	41	39	22	34	20	30	52	18	17	50	147	65
LOC117821116	1	0	2	1	0	9	2	5	5	1	4	5	15	23	4
trim62.1	258	318	58	76	114	144	22	11	14	24	123	127	197	219	104
LOC117815752	90	161	69	48	76	247	39	42	51	41	730	664	648	299	181
mmel1	0	1	0	1	0	13	2	1	2	2	5	10	17	34	21
prxl2b	86	116	131	124	101	121	121	114	77	106	62	75	119	81	52
slc45a1	1	0	0	0	0	8	6	0	3	0	18	15	38	174	71
si:ch211-222l21.1	4299	6309	4311	5811	5168	7925	3681	2045	3208	3710	10574	8702	6969	4874	5085
LOC117831247	0	0	2	3	3	1	0	1	2	2	17	12	10	3	4
ccdc114	639	412	444	646	545	700	441	264	258	424	3739	2983	2439	602	497
LOC117815793	0	0	0	0	0	0	0	1	0	0	0	1	2	6	0
errfi1a	350	428	134	179	185	180	45	26	45	52	53	44	113	187	88
LOC117818985	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mrps16	399	776	395	392	392	830	329	299	185	297	175	213	279	227	156
pax7a	41	43	0	1	12	9	1	0	2	0	38	22	30	32	13
park7	160	302	56	78	45	668	75	65	92	33	750	745	1097	1537	974
LOC117811690	108	169	12	20	27	132	12	2	16	7	294	312	424	356	162
megf6b	13	21	9	13	18	11	13	2	6	5	61	33	60	205	65
akr7a3	579	713	589	766	614	786	562	624	577	607	166	197	514	563	342
mrto4	449	951	264	303	285	810	101	28	67	93	289	347	602	559	388
iffo2b	6	13	2	2	2	52	5	5	8	1	50	53	109	152	71
terf2ip	405	450	329	430	454	276	241	140	128	362	442	390	526	650	262
pparg	14	45	0	6	3	61	23	32	31	18	11	47	63	120	64
LOC117807677	0	0	0	0	0	3	2	0	0	0	2	2	4	31	17
syn2b	4	9	0	0	2	11	1	0	0	2	39	26	32	47	16
tamm41	443	635	291	185	244	440	140	32	51	134	143	158	349	457	238
vgll4b	157	185	96	85	120	203	62	39	51	57	63	109	167	318	181
atg7	373	448	241	226	262	315	166	80	70	136	366	371	632	681	348
LOC117807990	0	0	0	0	0	2	0	1	0	0	2	2	0	6	0
hrh1	0	2	0	0	0	2	0	1	5	1	6	5	15	55	25
LOC117818334	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
trnag-gcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117815837	0	0	0	0	0	1	0	0	0	0	8	0	0	0	1
trnag-gcc_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117815916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117815960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnag-gcc_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117829093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117815967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117816001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
slc6a1b	0	0	0	0	0	3	0	0	0	0	5	3	4	24	9
slc6a11b	8	1	2	2	0	6	1	0	0	0	23	25	37	51	16
LOC117820647	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
atp2b2	0	0	1	0	1	2	1	0	0	0	18	11	14	77	6
LOC117820643	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
iars1	1071	928	884	807	1245	706	470	187	215	543	741	606	1234	1706	804
LOC117810735	6	8	5	2	2	6	0	0	0	1	6	6	10	30	4
rpl29	3142	7671	4680	3192	4304	10110	7202	9270	5817	5442	1640	2731	3341	4217	3374
dusp7	17	23	8	10	5	32	6	1	7	5	60	27	56	93	55
poc1a	131	103	81	79	117	112	52	26	36	50	1415	1112	759	262	216
b9d2	23	20	17	44	20	71	27	21	23	30	610	504	311	98	86
alas1	653	730	1211	1001	1089	1355	1266	922	896	1285	1514	1550	2017	1777	1048
LOC117820256	367	440	416	353	369	365	309	126	159	206	886	766	1096	1440	847
LOC117818243	0	0	0	0	1	3	0	0	0	0	1	3	1	9	7
itga7	14	25	25	24	24	50	31	30	9	15	68	95	235	295	126
npffl	0	0	0	0	0	3	0	0	1	1	3	3	3	39	14
LOC117817033	10	18	11	6	11	36	11	7	11	9	135	82	159	222	98
LOC117817025	1	3	0	2	0	27	3	3	5	0	21	23	17	40	26
nckap1l	1	10	4	6	6	113	33	52	35	33	29	59	133	251	120
LOC117817897	0	0	0	0	0	1	0	0	1	0	8	2	31	2	9
LOC117819524	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0
col2a1b	4	0	6	5	6	25	13	4	9	3	79	86	245	611	195
LOC117817481	1	0	0	1	1	28	0	0	1	1	483	607	295	65	37
myg1	1104	1036	1054	1239	1088	1568	1138	1142	924	1296	2143	2472	3062	2800	1922
LOC117819066	153	146	69	59	91	71	34	14	27	73	27	29	54	135	60
LOC117811153	2383	1691	2633	2358	2936	779	1489	669	785	1719	415	494	704	680	455
prr13	48	91	38	37	42	94	22	36	27	23	25	46	90	138	102
LOC117810537	23	18	16	38	37	350	59	54	130	45	41	117	333	527	442
LOC117810556	2156	1931	2969	3399	3167	1310	2660	2695	2186	2387	745	678	572	571	325
sp1	577	510	449	308	534	346	176	77	94	181	418	348	676	674	378
tespa1	3	13	0	1	2	29	5	1	7	2	76	50	89	106	49
tarbp2	83	124	19	26	21	106	16	4	11	14	193	160	331	227	141
sp7	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
igsf8	8	27	10	11	21	310	6	3	20	3	936	759	1630	1002	636
soat2	0	0	2	0	0	18	3	1	0	0	70	116	60	77	37
kif5ab	9	6	5	4	3	5	4	6	9	1	25	21	95	143	59
dctn2	1310	1344	1079	966	1064	1012	928	713	604	988	866	981	1016	797	643
ddit3	304	264	568	805	747	515	580	184	342	422	117	147	180	290	259
mars1	729	851	700	577	758	631	455	378	341	615	920	884	1396	1434	741
arhgap9	13	27	9	5	4	67	29	18	19	5	120	69	205	244	90
LOC117815538	0	0	0	0	0	0	1	0	0	0	1	5	2	8	10
LOC117818609	1	2	3	3	1	11	3	0	1	2	97	85	110	75	25
LOC117818619	0	1	3	4	1	8	2	2	1	4	19	50	53	75	27
gli1	7	13	2	2	1	19	2	1	4	1	24	13	41	108	39
LOC117817504	0	0	0	0	0	0	0	0	0	0	0	1	2	17	5
LOC117817495	0	0	0	0	1	1	1	0	0	0	1	0	0	5	0
LOC117813827	298	74	191	330	292	50	90	53	69	160	767	615	470	527	184
LOC117817186	0	1	0	0	0	3	0	3	1	0	4	5	7	38	9
LOC117817190	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117829752	2	22	0	1	0	3	0	1	1	2	6	12	9	33	10
shmt2	1412	1198	1038	898	1420	777	799	528	426	1014	1342	1212	1136	808	509
LOC117810800	0	0	0	0	0	1	2	0	2	0	1	1	0	10	1
LOC117810811	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
fam210b	537	461	470	580	717	281	392	256	148	467	135	141	218	571	316
ppp1r16b	88	106	26	37	20	80	9	4	12	6	58	66	132	152	90
LOC117819957	22	37	1	3	2	118	2	4	7	5	1789	1306	681	264	139
slc32a1	0	0	0	0	0	1	0	0	2	0	43	19	17	20	5
aurka	2975	4092	2335	1846	2974	2942	1191	672	623	1448	2348	2044	1779	800	524
prelid3b	2746	3773	1319	1598	1580	2224	489	198	282	470	230	246	444	270	159
tubb1	12	30	25	29	33	11	28	6	9	13	7	12	24	45	20
LOC117818521	122	99	27	34	53	82	14	12	14	10	368	308	333	324	174
ipo9	943	519	563	368	715	360	274	104	108	340	558	434	912	527	275
shisa4	124	101	79	65	77	63	34	19	29	47	259	159	199	207	92
lmod1b	33	46	7	9	4	117	0	5	1	3	61	89	178	148	112
timm17a	906	1250	677	858	744	1056	428	169	176	397	892	848	589	593	393
LOC117816393	469	670	167	180	172	529	116	88	82	113	343	308	447	637	391
LOC117820287	1	6	2	4	1	4	7	0	1	5	0	0	0	0	1
inka2	1	0	1	2	1	2	6	6	8	0	17	15	63	248	76
LOC117820315	0	5	0	0	4	3	1	0	1	0	17	17	30	88	39
LOC117820273	0	5	2	4	1	8	3	0	0	0	34	6	17	8	17
LOC117820263	0	0	0	1	0	2	0	0	0	0	1	0	5	18	4
LOC117823641	3	14	3	7	6	38	5	5	5	8	42	45	42	102	44
LOC117810861	0	0	0	0	0	1	0	0	0	0	5	1	11	33	10
st7l	304	180	283	172	217	198	124	74	68	154	243	188	332	458	156
tox2	1	0	4	2	1	19	4	5	7	2	69	47	160	258	86
snta1	161	187	113	64	91	108	57	30	31	46	429	399	296	303	158
LOC117821335	0	0	0	0	0	0	0	0	0	0	7	6	5	19	9
cbfa2t2	747	669	967	635	674	236	310	114	78	426	105	70	98	254	140
necab3	186	146	368	100	301	162	236	108	39	98	34	52	32	65	40
rbck1	63	150	75	38	62	174	31	31	77	29	773	1081	800	591	326
tbc1d20	250	358	121	100	133	256	33	16	32	56	271	292	317	376	232
znfx1	229	257	213	151	233	753	184	65	351	127	1349	1414	2236	4145	1621
LOC117819899	33	34	47	41	44	59	7	4	1	6	12	10	12	32	14
LOC117829992	2	6	2	2	0	2	1	0	0	0	1	0	3	12	1
LOC117819144	0	0	0	0	0	2	0	0	0	0	0	2	2	2	1
tfap2c	0	1	0	0	0	2	0	1	4	0	21	11	29	71	15
rtf2	382	454	503	474	566	479	331	200	161	341	1521	1159	1048	752	636
gcnt7	11	13	1	1	0	25	3	5	2	3	274	256	130	42	29
eya2	15	18	9	17	22	20	6	7	12	10	5	10	15	42	20
tgm5l	0	2	0	4	1	5	2	4	5	1	13	10	17	95	25
pxmp4	371	629	371	333	306	575	210	138	136	180	106	102	150	159	93
itcha	83	89	17	21	26	123	13	14	15	9	410	369	439	390	203
bloc1s1	1178	2274	1061	1057	1107	2236	1273	1136	839	1007	1235	1303	1260	1512	1006
rdh5	0	0	1	1	0	5	0	0	0	1	4	2	4	25	8
gls2b	83	171	123	177	202	242	92	69	69	98	39	43	111	247	76
LOC117824340	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1
LOC117824532	1	0	2	0	0	19	2	2	0	0	245	395	214	2041	5137
LOC117818884	34	16	20	105	81	517	16	125	109	6	7	6	18	2809	7021
LOC117817375	0	1	0	1	0	0	0	0	0	0	0	3	0	17	5
asic1b	40	71	2	2	0	69	6	9	18	5	30	18	92	330	154
smarcd1	797	633	759	609	714	453	344	142	204	403	394	302	577	622	278
LOC117820996	1125	2779	18	43	27	289	21	25	38	17	65	56	240	632	305
cers5	78	118	68	71	74	121	41	25	30	37	183	139	195	181	106
LOC117815931	743	1621	555	510	600	1849	479	375	262	370	100	134	253	352	250
LOC117812622	487	547	466	446	449	404	337	551	308	448	18	16	48	76	42
ppp4r1l	525	261	177	167	291	138	90	31	38	117	778	643	459	302	137
rab22a	51	94	17	20	13	118	20	24	24	11	189	168	236	285	171
LOC117812981	238	228	200	138	180	358	154	80	93	176	1571	1201	1325	681	487
apcdd1l	51	39	3	10	11	7	20	10	6	18	6	1	4	53	22
LOC117811671	42	53	50	80	149	37	38	15	13	28	0	1	0	2	1
LOC117811665	199	113	127	88	94	46	97	63	50	93	493	331	210	169	49
manbal	135	142	187	233	144	192	173	198	150	136	136	110	214	286	169
LOC117816519	4	0	3	1	1	17	1	4	4	1	14	21	62	136	37
LOC117817945	0	2	0	0	0	15	0	0	1	0	35	14	7	3	7
LOC117817926	0	0	0	0	0	9	0	0	1	0	15	11	27	100	36
LOC117814234	2	0	0	1	2	3	0	0	0	0	0	0	1	0	0
LOC117814229	0	0	1	0	0	2	0	0	0	0	3	2	1	1	0
LOC117814224	2	1	1	2	1	5	0	1	1	2	6	13	15	8	5
LOC117814250	0	0	0	0	0	0	0	0	0	0	6	6	9	1	1
LOC117814241	0	0	0	0	0	0	0	0	0	0	5	11	9	4	1
slc12a5a	37	0	0	0	1	6	1	0	0	0	136	46	60	31	6
LOC117814299	0	0	1	0	0	0	0	0	0	0	13	3	4	6	3
ncoa5	1372	1041	918	944	1412	593	593	351	311	820	885	735	993	529	358
LOC117814293	324	436	266	253	228	556	274	227	233	254	429	427	842	1078	671
mov10a	640	829	674	617	717	603	445	310	455	696	105	181	490	1067	576
LOC117812509	289	400	137	38	86	434	67	84	82	38	62	113	242	424	236
LOC117816153	5	2	6	3	5	21	2	1	0	0	4	3	5	22	7
ppm1j	97	125	92	68	74	121	79	32	67	64	54	67	111	414	168
LOC117828701	89	122	12	11	13	111	4	4	4	2	10	18	20	111	44
LOC117819937	0	0	0	0	2	0	2	0	1	2	0	1	0	1	1
LOC117819283	0	0	0	0	0	0	0	0	0	0	1	1	0	3	1
slc16a1a	0	0	1	0	2	91	0	0	0	1	71	100	422	52	75
sycp1	3	5	4	9	22	1287	31	9	81	14	13869	8297	4848	3576	2293
LOC117811292	0	1	0	2	0	13	0	1	3	19	3	7	6	10	8
slc5a8l	3	2	0	1	1	2	2	0	0	1	8	12	12	4	11
tshba	0	0	0	1	0	5	0	0	1	0	61	35	42	23	26
slc25a55a	1228	1421	577	651	802	869	280	145	199	276	883	1022	774	447	569
tspan2a	5	4	35	0	0	77	34	72	41	41	77	75	207	245	98
ngfb	23	30	1	4	9	23	0	2	1	1	49	51	43	62	22
LOC117817229	26	30	40	12	35	44	33	31	17	41	8	13	15	23	14
LOC117817198	0	0	0	0	0	1	1	0	0	1	5	4	9	59	18
LOC117817235	0	0	0	0	0	0	0	0	0	0	15	10	11	2	3
LOC117817191	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
LOC117817426	0	0	0	0	0	0	0	0	0	0	2	2	4	4	0
LOC117813385	0	0	0	0	0	0	0	0	0	0	4	3	5	2	1
LOC117813484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC117813394	8	34	6	4	0	30	4	3	3	5	2	10	6	36	9
rplp2	756	1036	1202	1373	1586	2775	1660	1730	1516	1370	926	1436	2293	2756	2410
LOC117813422	0	2	0	0	0	2	0	0	0	0	1	3	2	7	4
LOC117813431	2	2	0	0	1	9	2	1	0	0	6	6	11	74	22
LOC117813473	10	11	3	3	2	45	8	7	5	1	10	3	23	46	50
LOC117813495	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LOC117813411	0	1	0	1	0	5	0	0	1	0	8	11	16	27	9
LOC117822799	6	11	0	1	1	3	0	0	1	0	1	3	7	12	0
tead3b	34	64	18	15	28	53	6	8	8	2	50	59	117	163	84
smpd2b	228	280	60	73	86	341	42	31	14	38	336	291	405	424	359
LOC117821221	191	112	25	31	44	108	18	10	17	14	30	24	94	235	104
LOC117820690	0	0	0	1	0	0	1	1	0	1	3	1	4	27	7
LOC117820761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117820620	0	0	0	0	0	2	0	0	0	0	1	0	0	2	1
csrp1b	94	163	7	15	10	786	10	9	17	4	208	319	427	657	733
LOC117816707	10	13	2	7	4	53	2	1	8	9	660	232	248	199	64
LOC117816406	10	6	10	18	11	109	14	2	8	5	103	112	463	681	263
LOC117816019	64	49	71	36	68	23	13	3	11	21	7	6	20	43	18
LOC117816022	12	7	2	2	2	36	14	8	6	5	16	22	49	83	55
LOC117829416	995	558	596	654	681	246	320	184	186	449	128	104	209	119	82
LOC117816800	0	0	0	0	0	0	0	0	0	0	10	0	10	13	4
LOC117829558	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5
igfn1.4	0	0	0	0	0	1	0	0	0	0	8	6	13	30	9
LOC117829250	1	2	0	3	1	6	0	2	2	0	1	1	11	35	7
LOC117816866	0	0	0	1	3	3	1	0	0	0	4	8	13	64	19
LOC117829704	0	0	0	0	0	0	0	0	0	0	10	6	4	2	2
